Testing DateTime for 1 seconds...
Precision: 13,699484 ms (73 samples)

Testing High Resolution DateTime for 1 seconds...
Precision: 0,000277 ms (3604373 samples)

Testing Stopwatch for 1 seconds...
Resolution: 0,000156 ms (6393124 samples)

Testing Stopwatch for 1 seconds...
Resolution: 0,000100 ms (10000001 samples)

Stopwatch to UTC drift: 0,003 ms
Stopwatch to UTC drift: 0,004 ms
Stopwatch to UTC drift: 0,005 ms
Stopwatch to UTC drift: 0,005 ms
Stopwatch to UTC drift: 0,005 ms
Stopwatch to UTC drift: 0,005 ms
Stopwatch to UTC drift: 0,005 ms
Stopwatch to UTC drift: 0,005 ms
Stopwatch to UTC drift: 0,005 ms
Stopwatch to UTC drift: 0,005 ms
Stopwatch to UTC drift: 0,005 ms
Stopwatch to UTC drift: 0,005 ms
Stopwatch to UTC drift: 0,005 ms
Stopwatch to UTC drift: 0,005 ms
Stopwatch to UTC drift: 0,005 ms
Stopwatch to UTC drift: 0,005 ms
Stopwatch to UTC drift: 0,005 ms
Stopwatch to UTC drift: 0,005 ms
Stopwatch to UTC drift: 0,005 ms
Stopwatch to UTC drift: 0,005 ms
Stopwatch to UTC drift: 0,005 ms
Stopwatch to UTC drift: 0,005 ms
Stopwatch to UTC drift: 0,005 ms
Stopwatch to UTC drift: 0,007 ms
Stopwatch to UTC drift: 0,005 ms
Stopwatch to UTC drift: 0,005 ms
Stopwatch to UTC drift: 0,005 ms
Stopwatch to UTC drift: 0,005 ms
Stopwatch to UTC drift: 0,005 ms
Stopwatch to UTC drift: 0,005 ms
Stopwatch to UTC drift: 0,005 ms
Stopwatch to UTC drift: 0,005 ms
Stopwatch to UTC drift: 0,005 ms
Stopwatch to UTC drift: 0,005 ms
Stopwatch to UTC drift: 0,005 ms
Stopwatch to UTC drift: 0,005 ms
Stopwatch to UTC drift: 0,005 ms
Stopwatch to UTC drift: 0,005 ms
Stopwatch to UTC drift: 0,005 ms
Stopwatch to UTC drift: 0,005 ms
Stopwatch to UTC drift: 0,005 ms
Stopwatch to UTC drift: 0,005 ms
Stopwatch to UTC drift: 0,005 ms
Stopwatch to UTC drift: 0,005 ms
Stopwatch to UTC drift: 0,005 ms
Stopwatch to UTC drift: 0,005 ms
Stopwatch to UTC drift: 0,005 ms
Stopwatch to UTC drift: 0,005 ms
Stopwatch to UTC drift: 0,005 ms
Stopwatch to UTC drift: 0,005 ms
Stopwatch to UTC drift: 0,005 ms
Stopwatch to UTC drift: 0,005 ms
Stopwatch to UTC drift: 0,005 ms
Stopwatch to UTC drift: 0,005 ms
Stopwatch to UTC drift: 0,005 ms
Stopwatch to UTC drift: 0,005 ms
Stopwatch to UTC drift: 0,005 ms
Stopwatch to UTC drift: 0,005 ms
Stopwatch to UTC drift: 0,005 ms
Stopwatch to UTC drift: 0,005 ms
Stopwatch to UTC drift: 0,005 ms
Stopwatch to UTC drift: 0,005 ms
Stopwatch to UTC drift: 0,005 ms
Stopwatch to UTC drift: 0,005 ms
Stopwatch to UTC drift: 0,005 ms
Stopwatch to UTC drift: 0,005 ms
Stopwatch to UTC drift: 0,005 ms
Stopwatch to UTC drift: 0,005 ms
Stopwatch to UTC drift: 0,005 ms
Stopwatch to UTC drift: 0,005 ms
Stopwatch to UTC drift: 0,005 ms
Stopwatch to UTC drift: 0,005 ms
Stopwatch to UTC drift: 0,005 ms
Stopwatch to UTC drift: 0,005 ms
Stopwatch to UTC drift: 0,005 ms
Stopwatch to UTC drift: 0,005 ms
Stopwatch to UTC drift: 0,005 ms
Stopwatch to UTC drift: 0,005 ms
Stopwatch to UTC drift: 0,005 ms
Stopwatch to UTC drift: 0,005 ms
Stopwatch to UTC drift: 0,005 ms
Stopwatch to UTC drift: 0,005 ms
Stopwatch to UTC drift: 0,005 ms
Stopwatch to UTC drift: 0,005 ms
Stopwatch to UTC drift: 0,005 ms
Stopwatch to UTC drift: 0,005 ms
Stopwatch to UTC drift: 0,005 ms
Stopwatch to UTC drift: 0,005 ms
Stopwatch to UTC drift: 0,005 ms
Stopwatch to UTC drift: 0,005 ms
Stopwatch to UTC drift: 0,005 ms
Stopwatch to UTC drift: 0,005 ms
Stopwatch to UTC drift: 0,005 ms
Stopwatch to UTC drift: 0,005 ms
Stopwatch to UTC drift: 0,005 ms
Stopwatch to UTC drift: 0,005 ms
Stopwatch to UTC drift: 0,005 ms
Stopwatch to UTC drift: 0,005 ms
Stopwatch to UTC drift: 0,005 ms
Stopwatch to UTC drift: 0,005 ms
Stopwatch to UTC drift: 0,005 ms
Stopwatch to UTC drift: 0,005 ms
Stopwatch to UTC drift: 0,005 ms
Stopwatch to UTC drift: 0,005 ms
Stopwatch to UTC drift: 0,005 ms
Stopwatch to UTC drift: 0,005 ms
Stopwatch to UTC drift: 0,005 ms
Stopwatch to UTC drift: 0,005 ms
Stopwatch to UTC drift: 0,005 ms
Stopwatch to UTC drift: 0,005 ms
Stopwatch to UTC drift: 0,005 ms
Stopwatch to UTC drift: 0,005 ms
Stopwatch to UTC drift: 0,005 ms
Stopwatch to UTC drift: 0,005 ms
Stopwatch to UTC drift: 0,005 ms
Stopwatch to UTC drift: 0,005 ms
Stopwatch to UTC drift: 0,005 ms
Stopwatch to UTC drift: 0,005 ms
Stopwatch to UTC drift: 0,005 ms
Stopwatch to UTC drift: 0,005 ms
Stopwatch to UTC drift: 0,005 ms
Stopwatch to UTC drift: 0,005 ms
Stopwatch to UTC drift: 0,005 ms
Stopwatch to UTC drift: 0,005 ms
Stopwatch to UTC drift: 0,005 ms
Stopwatch to UTC drift: 0,005 ms
Stopwatch to UTC drift: 0,005 ms
Stopwatch to UTC drift: 0,005 ms
Stopwatch to UTC drift: 0,005 ms
Stopwatch to UTC drift: 0,005 ms
Stopwatch to UTC drift: 0,005 ms
Stopwatch to UTC drift: 0,005 ms
Stopwatch to UTC drift: 0,005 ms
Stopwatch to UTC drift: 0,005 ms
Stopwatch to UTC drift: 0,005 ms
Stopwatch to UTC drift: 0,005 ms
Stopwatch to UTC drift: 0,005 ms
Stopwatch to UTC drift: 0,005 ms
Stopwatch to UTC drift: 0,005 ms
Stopwatch to UTC drift: 0,005 ms
Stopwatch to UTC drift: 0,005 ms
Stopwatch to UTC drift: 0,005 ms
Stopwatch to UTC drift: 0,005 ms
Stopwatch to UTC drift: 0,005 ms
Stopwatch to UTC drift: 0,005 ms
Stopwatch to UTC drift: 0,005 ms
Stopwatch to UTC drift: 0,005 ms
Stopwatch to UTC drift: 0,005 ms
Stopwatch to UTC drift: 0,005 ms
Stopwatch to UTC drift: 0,005 ms
Stopwatch to UTC drift: 0,005 ms
Stopwatch to UTC drift: 0,004 ms
Stopwatch to UTC drift: 0,005 ms
Stopwatch to UTC drift: 0,005 ms
Stopwatch to UTC drift: 0,005 ms
Stopwatch to UTC drift: 0,005 ms
Stopwatch to UTC drift: 0,005 ms
Stopwatch to UTC drift: 0,005 ms
Stopwatch to UTC drift: 0,005 ms
Stopwatch to UTC drift: 0,004 ms
Stopwatch to UTC drift: 0,005 ms
Stopwatch to UTC drift: 0,005 ms
Stopwatch to UTC drift: 0,005 ms
Stopwatch to UTC drift: 0,005 ms
Stopwatch to UTC drift: 0,005 ms
Stopwatch to UTC drift: 0,005 ms
Stopwatch to UTC drift: 0,005 ms
Stopwatch to UTC drift: 0,005 ms
Stopwatch to UTC drift: 0,005 ms
Stopwatch to UTC drift: 0,005 ms
Stopwatch to UTC drift: 0,005 ms
Stopwatch to UTC drift: 0,005 ms
Stopwatch to UTC drift: 0,005 ms
Stopwatch to UTC drift: 0,005 ms
Stopwatch to UTC drift: 0,005 ms
Stopwatch to UTC drift: 0,005 ms
Stopwatch to UTC drift: 0,005 ms
Stopwatch to UTC drift: 0,005 ms
Stopwatch to UTC drift: 0,005 ms
Stopwatch to UTC drift: 0,005 ms
Stopwatch to UTC drift: 0,005 ms
Stopwatch to UTC drift: 0,005 ms
Stopwatch to UTC drift: 0,005 ms
Stopwatch to UTC drift: 0,005 ms
Stopwatch to UTC drift: 0,005 ms
Stopwatch to UTC drift: 0,005 ms
Stopwatch to UTC drift: 0,005 ms
Stopwatch to UTC drift: 0,005 ms
Stopwatch to UTC drift: 0,005 ms
Stopwatch to UTC drift: 0,005 ms
Stopwatch to UTC drift: 0,005 ms
Stopwatch to UTC drift: 0,005 ms
Stopwatch to UTC drift: 0,005 ms
Stopwatch to UTC drift: 0,005 ms
Stopwatch to UTC drift: 0,005 ms
Stopwatch to UTC drift: 0,005 ms
Stopwatch to UTC drift: 0,005 ms
Stopwatch to UTC drift: 0,005 ms
Stopwatch to UTC drift: 0,005 ms
Stopwatch to UTC drift: 0,005 ms
Stopwatch to UTC drift: 0,005 ms
Stopwatch to UTC drift: 0,005 ms
Stopwatch to UTC drift: 0,005 ms
Stopwatch to UTC drift: 0,005 ms
Stopwatch to UTC drift: 0,005 ms
Stopwatch to UTC drift: 0,005 ms
Stopwatch to UTC drift: 0,005 ms
Stopwatch to UTC drift: 0,006 ms
Stopwatch to UTC drift: 0,005 ms
Stopwatch to UTC drift: 0,005 ms
Stopwatch to UTC drift: 0,005 ms
Stopwatch to UTC drift: 0,005 ms
Stopwatch to UTC drift: 0,005 ms
Stopwatch to UTC drift: 0,005 ms
Stopwatch to UTC drift: 0,005 ms
Stopwatch to UTC drift: 0,005 ms
Stopwatch to UTC drift: 0,005 ms
Stopwatch to UTC drift: 0,005 ms
Stopwatch to UTC drift: 0,005 ms
Stopwatch to UTC drift: 0,005 ms
